299,Sai,Black Hair,Male,"['Artist', 'Gloves', 'Headband', 'Ninja']",Anime,Manga
10,Gaara,Red Hair,Male,"['Earth Powers', 'Elemental Powers', 'Ninja', 'No Eyebrows', 'Stoic', 'Tattoo']","['Boruto: Naruto Next Generations', 'Boruto: Naruto the Movie', 'Naruto', 'Naruto: Hidden Leaf Village Grand Sports Festival!', 'Naruto: Honoo no Chuunin Shiken! Naruto vs Konohamaru!!', 'Naruto Movie 2: Legend of the Stone of Gelel', 'Naruto: Narutimate Hero 3 OVA', 'Naruto Shippuden', 'Naruto Shippuden: Konoha Gakuen Picture Drama Special', 'Naruto Shippuden Movie 3: The Will of Fire', 'Naruto Shippuden OVA: Sage Naruto vs Sasuke', 'Naruto Spin-Off: Rock Lee & His Ninja Pals', 'The Last: Naruto the Movie']","['Boruto', 'Naruto', 'Naruto Secret Chronicles (Light Novel)', 'Naruto: The Seventh Hokage and the Scarlet Spring', ""Rock Lee's Springtime of Youth""]"
11,Natsu DRAGNEEL,Pink Hair,Male,"['Big Eater', 'Elemental Powers', 'Eternal Optimist', 'Fire Powers', 'Hot-Headed', 'Invisibility Powers', 'Magic User', 'Orphan', 'Scarf']","['Fairy Tail', 'Fairy Tail 2', 'Fairy Tail 2 OVA', 'Fairy Tail: Final Season', 'Fairy Tail Movie 1: Phoenix Priestess', 'Fairy Tail Movie 1: Phoenix Priestess - The First Morning', 'Fairy Tail Movie 2: Dragon Cry', 'Fairy Tail OVA', 'Fairy Tail x Rave']","['Fairy Tail', 'Fairy Tail+', 'Fairy Tail: 100 Years Quest', 'Fairy Tail: Blue Mistral', 'Fairy Tail (Light Novel)', 'Fairy Tail Matsuri', 'Fairy Tail S: Tales from Fairy Tail', 'Fairy Tail the Movie: Priestess of The Phoenix - The Sunrise', 'Fairy Tail x The Seven Deadly Sins Christmas Special', 'Magazine Ohanami!!', ""Mashima Hero's""]"
12,Kirito,Black Hair,Male,"['Person in a Strange World', 'Sword Fighter', 'Teenager', 'Video Gamer', 'Warrior']","['Eromanga Sensei', 'He Wei Dao x Sword Art Online: Alicization', 'Sword Art Online', 'Sword Art Online: Alicization', 'Sword Art Online: Alicization - Recollection', 'Sword Art Online: Alicization - Reflection', 'Sword Art Online: Alicization - War of Underworld', 'Sword Art Online: Alicization - War of Underworld: Part II', 'Sword Art Online: Alicization - War of Underworld Recap', 'Sword Art Online Alternative: Gun Gale Online', 'Sword Art Online: Extra Edition', 'Sword Art Online II', 'Sword Art Online II: Debriefing', 'Sword Art Online II: Sword Art Offline II', 'Sword Art Online Movie: Ordinal Scale', 'Sword Art Online Movie: Ordinal Scale - Sword Art Offline', 'Sword Art Online: Progressive Movie 1 - Aria of a Starless Night', 'Sword Art Online: Sword Art Offline', 'Sword Art Online: Sword Art Offline - Extra Edition']","['Sword Art Online 4-koma', 'Sword Art Online: Aincrad', 'Sword Art Online: Aincrad Night of Kirito', 'Sword Art Online: Alicization Lycoris', 'Sword Art Online: Calibur', 'Sword Art Online: Celeste no Yousei (Light Novel)', 'Sword Art Online: Fairy Dance', ""Sword Art Online: Girls' Ops"", 'Sword Art Online: Hollow Realization', 'Sword Art Online (Light Novel)', 'Sword Art Online: Lisbeth Edition', ""Sword Art Online: Mother's Rosary"", 'Sword Art Online: Ordinal Scale', 'Sword Art Online: Phantom Bullet', 'Sword Art Online: Progressive', 'Sword Art Online: Progressive - Barcarolle of Froth', 'Sword Art Online: Progressive - Kuraki Yuuyami no Scherzo', 'Sword Art Online: Progressive (Light Novel)', 'Sword Art Online: Progressive - Ougonritsu no Canon', 'Sword Art Online: Project Alicization', 'Sword Art Online Side Stories (Light Novel)', 'Sword Art Online SS: Calibur SS-han (Light Novel)']"
13,Erza SCARLET,Red Hair,Female,"['Armor', 'Blinding Bangs', 'Bossy', 'Magic User', 'Sweet Tooth', 'Sword Fighter', 'Warrior']","['Fairy Tail', 'Fairy Tail 2', 'Fairy Tail 2 OVA', 'Fairy Tail: Final Season', 'Fairy Tail Movie 1: Phoenix Priestess', 'Fairy Tail Movie 2: Dragon Cry', 'Fairy Tail OVA', 'Fairy Tail x Rave']","['Fairy Girls', 'Fairy Tail', 'Fairy Tail: 100 Years Quest', 'Fairy Tail: Blue Mistral', 'Fairy Tail: Ice Trail', 'Fairy Tail Matsuri', 'Fairy Tail S: Tales from Fairy Tail', 'Fairy Tail x The Seven Deadly Sins Christmas Special', ""Mashima Hero's""]"
14,Roy MUSTANG,Black Hair,Male,"['Adult', 'Alchemist', 'Elemental Powers', 'Fire Powers', 'Gloves', 'Military']","['Fullmetal Alchemist', 'Fullmetal Alchemist: Brotherhood', 'Fullmetal Alchemist: Brotherhood: 4-Koma Theater', 'Fullmetal Alchemist: Brotherhood Specials', 'Fullmetal Alchemist: Premium Collection', 'Fullmetal Alchemist: Reflections', 'Fullmetal Alchemist The Movie: Conqueror of Shamballa', 'Fullmetal Alchemist: The Sacred Star of Milos']","['Fullmetal Alchemist', 'Fullmetal Alchemist (Light Novel)', 'Fullmetal Alchemist: The Complete Four-Panel Comics']"
15,Sebastian MICHAELIS,Black Hair,Male,"['Animal Lover', 'Butler', 'Demon', 'Human Guise', 'Immortal', 'Manipulative', 'Sadistic', 'Unconventional Weapon']","['Black Butler', 'Black Butler 2', 'Black Butler 2 Specials', 'Black Butler: Book of Circus', 'Black Butler: Book of Murder', 'Black Butler: Book of the Atlantic', 'Black Butler: His Butler, Performer', 'Black Butler Picture Drama', 'Black Butler Recap']","['Black Butler', 'Black Butler Anthology Comic']"
16,Monkey D. Luffy,Black Hair,Male,"['Airhead', 'Big Eater', 'Charismatic', 'Eternal Optimist', 'Hat', 'Pirate', 'Sailor', 'Scar', 'Superpowers', 'Teenager', 'Treasure Hunter']","['ARASHI: A-RA-SHI : Reborn', 'Dream 9 Toriko x One Piece x Dragon Ball Z Super Collabo Special', 'Fanta x One Piece', 'Hungry Days x Bump of Chicken: Kinen Satsuei', 'Hungry Days x One Piece', 'Kyuutai Panic Adventure Returns!', 'Look Plus x One Piece CM', 'Nissan Serena x One Piece 3D: Mugiwara Chase', 'One Piece', ""One Piece 3D2Y: Overcoming Ace's Death! Luffy's Pledge to His Friends!"", 'One Piece 3D: Gekisou! Trap Coaster', 'One Piece 3D: Mugiwara Chase', 'One Piece: Adventure of Nebulandia', 'One Piece: Annecy Festival 60th Anniversary', 'One Piece: Cry Heart', 'One Piece: Defeat the Pirate Ganzak!', ""One Piece: Django's Dance Carnival"", 'One Piece: Dream Soccer King!', 'One Piece: Episode of East Blue', 'One Piece: Episode of Luffy - Hand Island no Bouken', 'One Piece: Episode of Merry - Mou Hitori no Nakama no Monogatari', 'One Piece: Episode of Nami - Koukaishi no Namida to Nakama no Kizuna', 'One Piece: Episode of Sabo', 'One Piece: Episode of Skypiea', 'One Piece Film: Gold', 'One Piece Film: Gold - Cine Mike Popcorn Kokuchi', 'One Piece Film: Gold ~Episode 0~ 711 ver.', 'One Piece Film: Red', 'One Piece Film: Z', 'One Piece: FNS 27 Hour TV', 'One Piece: Kinkyuu Kikaku One Piece Kanzen Kouryakuhou', 'One Piece: Long Ring Long Land-hen', 'One Piece Movie 1', 'One Piece Movie 10: Strong World', 'One Piece Movie 14: Stampede', 'One Piece Movie 2: Clockwork Island Adventure', 'One Piece Movie 3: Chopper Kingdom of Strange Animal Island', 'One Piece Movie 4: Dead End Adventure', 'One Piece Movie 5: The Curse of the Sacred Sword', 'One Piece Movie 6: Baron Omatsuri and the Secret Island', ""One Piece Movie 7: Karakuri Castle's Mecha Giant Soldier"", 'One Piece Movie 8: The Desert Princess and the Pirates - Adventures in Alabasta', 'One Piece Movie 9: Episode of Chopper - The Miracle Winter Cherry Blossom', 'One Piece Recap', 'One Piece: Romance Dawn', 'One Piece: Romance Dawn Story', ""One Piece Special 1: Adventure in the Ocean's Navel"", ""One Piece Special 2: Open Upon the Great Sea! A Father's Huge, HUGE Dream!"", 'One Piece Special 3: Protect! The Last Great Stage', 'One Piece Special 4: The Detective Memoirs of Chief Straw Hat Luffy', ""One Piece Special Episode: Barto's Secret Room"", 'One Piece Special: Glorious Island', 'One Piece Special: Heart of Gold', 'One Piece: Straw Hat Theater', 'One Piece: Strong World - Episode 0', 'One Piece: Take Aim! The Pirate Baseball King', 'One Piece: The Captain’s Log of the Legend! Red-Haired Shanks!', 'One Piece: The Desert Princess and the Pirates - Adventures in Alabasta Prologue', 'Sante FX x One Piece', 'Tokyo One Piece Tower: Tongari Shima no Dai Hihou', 'Toriko x One Piece Collabo Special', 'Toriko x One Piece Collabo Special 2']","['Cross Epoch', 'Food Wars! Shokugeki no Sanji', 'Jump Super Stars', 'One Piece', 'One Piece episode A', 'One Piece Gakuen', 'One Piece: Loguetown-hen (Light Novel)', 'One Piece Movie 14: Stampede (Light Novel)', 'One Piece Party', 'One Piece: Roronoa Zoro Falls Into the Sea', 'One Piece: Taose! Kaizoku Ganzack (Light Novel)', 'One Piece x Toriko: Jisshoku! Akuma no Mi!!', 'Romance Dawn', 'Wanted! Oda Eiichiro Tanpenshu']"
17,Shikamaru NARA,Black Hair,Male,"['Analytical', 'Darkness Powers', 'Elemental Powers', 'Lazy', 'Ninja', 'Piercings', 'Ponytail']","['Boruto: Naruto Next Generations', 'Boruto: Naruto the Movie', 'Boruto: Naruto the Movie - The Day Naruto Became Hokage', 'Naruto', 'Naruto: Hidden Leaf Village Grand Sports Festival!', 'Naruto: Honoo no Chuunin Shiken! Naruto vs Konohamaru!!', 'Naruto Movie 2: Legend of the Stone of Gelel', 'Naruto: Narutimate Hero 3 OVA', 'Naruto: Naruto to Mashin to Mitsu no Onegai Dattebayo!!', 'Naruto Shippuden', 'Naruto Shippuden: Konoha Gakuen Picture Drama Special', 'Naruto Shippuden Movie 1', 'Naruto Shippuden Movie 2: Bonds', 'Naruto Shippuden Movie 3: The Will of Fire', 'Naruto Shippuden Movie 5: Blood Prison', 'Naruto Shippuden Movie 6: Road to Ninja', 'Naruto Spin-Off: Rock Lee & His Ninja Pals', 'The Last: Naruto the Movie']","['Boruto', 'Boruto: Naruto the Movie Tokubetsu Bangai-hen - Naruto ga Hokage ni Natta Hi', 'Naruto', 'Naruto Movie: Legend of the Stone of Gelel (Light Novel)', 'Naruto Secret Chronicles (Light Novel)', 'Naruto Shippuden Movie 5: Blood Prison (Light Novel)', 'Naruto: The Seventh Hokage and the Scarlet Spring', 'Road to Naruto the Movie', 'Road to Ninja: Naruto the Movie (Light Novel)', ""Rock Lee's Springtime of Youth""]"
18,Asuna YUUKI,Brown Hair,Female,"['Braids', 'Cook', 'Person in a Strange World', 'Sword Fighter', 'Teenager', 'Video Gamer', 'Warrior']","['Sword Art Online', 'Sword Art Online: Alicization', 'Sword Art Online: Alicization - Reflection', 'Sword Art Online: Alicization - War of Underworld', 'Sword Art Online: Alicization - War of Underworld: Part II', 'Sword Art Online: Alicization - War of Underworld Recap', 'Sword Art Online: Extra Edition', 'Sword Art Online II', 'Sword Art Online II: Debriefing', 'Sword Art Online II: Sword Art Offline II', 'Sword Art Online Movie: Ordinal Scale', 'Sword Art Online Movie: Ordinal Scale - Sword Art Offline', 'Sword Art Online: Progressive Movie 1 - Aria of a Starless Night', 'Sword Art Online: Progressive Movie 2 - Scherzo of Deep Night', 'Sword Art Online: Sword Art Offline', 'Sword Art Online: Sword Art Offline - Extra Edition']","['Sword Art Online 4-koma', 'Sword Art Online: Aincrad', 'Sword Art Online: Aincrad Night of Kirito', 'Sword Art Online: Calibur', 'Sword Art Online: Fairy Dance', 'Sword Art Online: Hollow Realization', 'Sword Art Online (Light Novel)', 'Sword Art Online: Lisbeth Edition', ""Sword Art Online: Mother's Rosary"", 'Sword Art Online: Ordinal Scale', 'Sword Art Online: Progressive', 'Sword Art Online: Progressive - Barcarolle of Froth', 'Sword Art Online: Progressive - Kuraki Yuuyami no Scherzo', 'Sword Art Online: Progressive (Light Novel)', 'Sword Art Online: Progressive - Ougonritsu no Canon', 'Sword Art Online: Project Alicization', 'Sword Art Online Side Stories (Light Novel)', 'Sword Art Online SS: Calibur SS-han (Light Novel)']"
19,Hinata HYUGA,Black Hair,Female,"['Dandere', 'Exotic Eyes', 'Ninja', 'Shy']","['Boruto: Naruto Next Generations', 'Boruto: Naruto the Movie', 'Boruto: Naruto the Movie - The Day Naruto Became Hokage', 'Naruto', 'Naruto: Hidden Leaf Village Grand Sports Festival!', 'Naruto: Honoo no Chuunin Shiken! Naruto vs Konohamaru!!', 'Naruto: Naruto to Mashin to Mitsu no Onegai Dattebayo!!', 'Naruto Shippuden', 'Naruto Shippuden: Konoha Gakuen Picture Drama Special', 'Naruto Shippuden Movie 2: Bonds', 'Naruto Shippuden Movie 3: The Will of Fire', 'Naruto Shippuden Movie 5: Blood Prison', 'Naruto Shippuden Movie 6: Road to Ninja', 'Naruto Spin-Off: Rock Lee & His Ninja Pals', 'The Last: Naruto the Movie']","['Boruto', 'Boruto: Naruto the Movie Tokubetsu Bangai-hen - Naruto ga Hokage ni Natta Hi', 'Boruto: Road to ""B""', 'Naruto', 'Naruto Shippuden Movie 5: Blood Prison (Light Novel)', 'Naruto: Special Extra Chapter - After The Last', ""Naruto's Story: Family Day (Light Novel)"", 'Road to Naruto the Movie', 'Road to Ninja: Naruto the Movie (Light Novel)', ""Rock Lee's Springtime of Youth""]"
