299,Sai,Black Hair,Male,"['Artist', 'Gloves', 'Headband', 'Ninja']",Anime,Manga
59,Rock Lee,Black Hair,Male,"['Bandages', 'Epic Eyebrows', 'Eternal Optimist', 'Honorable Fighter', 'Ninja']","['Boruto: Naruto Next Generations', 'Boruto: Naruto the Movie', 'Boruto: Naruto the Movie - The Day Naruto Became Hokage', 'Naruto', 'Naruto: Honoo no Chuunin Shiken! Naruto vs Konohamaru!!', 'Naruto Movie 3: Guardians of the Crescent Moon Kingdom', 'Naruto: Narutimate Hero 3 OVA', 'Naruto: Naruto to Mashin to Mitsu no Onegai Dattebayo!!', 'Naruto Shippuden', 'Naruto Shippuden: Konoha Gakuen Picture Drama Special', 'Naruto Shippuden Movie 1', 'Naruto Shippuden Movie 3: The Will of Fire', 'Naruto Shippuden Movie 5: Blood Prison', 'Naruto Shippuden Movie 6: Road to Ninja', 'Naruto Spin-Off: Rock Lee & His Ninja Pals', 'The Last: Naruto the Movie']","['Boruto', 'Naruto', 'Naruto Secret Chronicles (Light Novel)', 'Naruto Shippuden Movie 5: Blood Prison (Light Novel)', 'Road to Naruto the Movie', 'Road to Ninja: Naruto the Movie (Light Novel)', ""Rock Lee's Springtime of Youth""]"
60,Misaki AYUZAWA,Black Hair,Female,"['High School Student', 'Maid', 'Part Time Employee', 'Poor', 'Student Council', 'Teenager', 'Tsundere', 'Waiter']","['Maid-sama!', 'Maid-sama! LaLa Special', 'Maid-sama!: Omake dayo!']","['Kaichou wa Maid-sama! Marriage', 'Maid-sama!']"
61,Sasha BRAUS,Brown Hair,Female,"['Airhead', 'Big Eater', 'Military', 'Ponytail', 'Sword Fighter']","['Attack on Skytree', 'Attack on Titan', 'Attack on Titan 2nd Season', 'Attack on Titan 3rd Season', 'Attack on Titan 3rd Season: Part II', 'Attack on Titan 3rd Season: Part II Specials', ""Attack on Titan: Ilse's Notebook"", 'Attack on Titan: Junior High', 'Attack on Titan Movie 1: Crimson Bow and Arrow', 'Attack on Titan Movie 2: The Wings of Freedom', 'Attack on Titan Movie 3: The Roar of Awakening', 'Attack on Titan Movie 4: Chronicle', 'Attack on Titan Picture Drama', 'Attack on Titan: Since That Day', 'Attack on Titan The Final Season', 'Attack on Titan The Final Season: Part II']","['Attack on Titan', 'Attack on Titan: End of the World (Light Novel)', 'Attack on Titan: Junior High', 'Spoof on Titan']"
62,Goku SON,Black Hair,Male,"['Anti-Gravity Hair', 'Big Eater', 'Eternal Optimist', 'Honorable Fighter', 'Martial Artist', 'Muscular', 'Teleportation Powers']","['Dragon Ball', ""Dragon Ball: Goku's Fire Brigade"", ""Dragon Ball: Goku's Traffic Safety"", 'Dragon Ball GT', ""Dragon Ball GT: A Hero's Legacy"", 'Dragon Ball Movie 1: Curse of the Blood Rubies', ""Dragon Ball Movie 2: Sleeping Princess in Devil's Castle"", 'Dragon Ball Movie 3: Mystical Adventure', 'Dragon Ball Movie 4: The Path to Power', 'Dragon Ball: Plan to Destroy the Saiyajin', 'Dragon Ball Super', 'Dragon Ball Super: Annecy Festival 60th Anniversary', 'Dragon Ball Super: Broly - Skytree Super', 'Dragon Ball Super: FNS 27 Hour TV', 'Dragon Ball Super Movie: Broly', 'Dragon Ball: Yo! The Return of Son-Goku and Friends!!', 'Dragon Ball Z', 'Dragon Ball Z: Atsumare! Goku World', 'Dragon Ball Z Kai', ""Dragon Ball Z Kai: Bring Peace to the Future! Goku's Spirit is Eternal"", 'Dragon Ball Z Kai: The Final Chapters', 'Dragon Ball Z Movie 10: Broly - Second Coming', 'Dragon Ball Z Movie 11: Bio-Broly', 'Dragon Ball Z Movie 12: Fusion Reborn', 'Dragon Ball Z Movie 13: Wrath of the Dragon', 'Dragon Ball Z Movie 14: Battle of Gods', ""Dragon Ball Z Movie 15: Resurrection 'F'"", 'Dragon Ball Z Movie 1: Dead Zone', ""Dragon Ball Z Movie 2: The World's Strongest"", 'Dragon Ball Z Movie 3: The Tree of Might', 'Dragon Ball Z Movie 4: Lord Slug', ""Dragon Ball Z Movie 5: Cooler's Revenge"", 'Dragon Ball Z Movie 6: Return of Cooler', 'Dragon Ball Z Movie 7: Super Android 13', 'Dragon Ball Z Movie 8: Broly - The Legendary Super Saiyan', 'Dragon Ball Z Movie 9: Bojack Unbound', 'Dragon Ball Z: Nippon Ijin Taishou - Saikyou no Ijin wa Dare?', 'Dragon Ball Z: Plan to Destroy the Saiyajin', 'Dragon Ball Z Special 1: Bardock - The Father of Goku', 'Dragon Ball Z Special 2: The History of Trunks', 'Dragon Ball Z: Summer Vacation Special', 'Dragon Ball Z: The Real 4-D', 'Dragon Ball Z: Zenbu Misemasu Toshi Wasure Dragon Ball Z!', 'Dream 9 Toriko x One Piece x Dragon Ball Z Super Collabo Special', 'Dr. Slump', 'Dr. Slump: Hoyoyo! Arale no Himitsu Dai Koukai dayo!!', 'Dr. Slump Movie 7: Arale-chan N-cha! Pengin-mura yori Ai wo komete', 'Kyuutai Panic Adventure!', 'Kyuutai Panic Adventure Returns!', 'Super Dragon Ball Heroes']","['Cross Epoch', 'Dragon Ball', 'Dragon Ball SD', 'Dragon Ball Super', 'Dragon Ball: That Time I Got Reincarnated as Yamcha!', 'Dragon Ball: Yo! The Return of Son-Goku and Friends!!', 'Dragon Ball Z', 'Dragon Ball Z: Fukkatsu no F', 'Jump Super Stars', 'Neko Majin', 'Super Dragon Ball Heroes: Ankoku Makai Mission!', 'Super Dragon Ball Heroes: Universe Mission!!']"
63,Tanjirou KAMADO,Red Hair,Male,"['Demon Hunter', 'Orphan', 'Piercings', 'Scar', 'Sword Fighter', 'Teenager']","['Demon Slayer: Kimetsu no Yaiba', 'Demon Slayer: Kimetsu no Yaiba - Entertainment District Arc', 'Demon Slayer: Kimetsu no Yaiba Movie - Mugen Train', 'Demon Slayer: Kimetsu no Yaiba - Mugen Train', 'Demon Slayer: Kimetsu no Yaiba - Swordsmith Village Arc', 'Kimetsu Gakuen: Valentine-hen']","['Demon Slayer: Kimetsu no Yaiba', 'Demon Slayer: Kimetsu no Yaiba - One-Winged Butterfly (Light Novel)', 'Demon Slayer: Kimetsu no Yaiba - Stories of Water and Flame', 'Demon Slayer: Kimetsu no Yaiba - The Flower of Happiness (Light Novel)', 'Kimetsu Gakuen!', 'Kimetsu no Yaiba Koushiki Spin-off: Kimetsu no Aima!', 'Kimetsu no Yaiba: Rengoku Kyoujurou Gaiden', 'Kimetsu no Yaiba: Tomioka Giyuu Gaiden']"
64,Shizuo HEIWAJIMA,Blonde Hair,Male,"['Adult', 'Bodyguard', 'Bow Tie', 'Hot-Headed', 'Smoker', 'Sunglasses']","['Durarara!!', 'Durarara!! Specials', 'Durarara!! X2', 'Durarara!! X2: My Heart Is in the Pattern of a Hot Pot', 'Durarara!! X2 The Second Arc', 'Durarara!! X2 The Second Arc: Onoroke Chakapoko', 'Durarara!! X2 The Third Arc']","['Durarara!!', 'Durarara!! 3 Way Standoff - Alley', 'Durarara!! (Light Novel)', 'Durarara!! Minna wa Nakayoshi (Light Novel)', 'Durarara!! Re;Dollars Arc', 'Durarara!! Saika Arc', 'Durarara!! SH (Light Novel)', 'Durarara!! Yellow Scarves Arc', 'Minidura']"
65,Yuno GASAI,Pink Hair,Female,"['Analytical', 'Broken Record', 'Hair Ribbons', 'Middle School Student', 'Pigtails', 'Ruthless', 'Stalker', 'Superpowers', 'Teenager']","['Future Diary', 'Future Diary OVA', 'Future Diary: Redial', 'Future Diary: Ura Mirai Nikki']","['Future Diary', 'Future Diary (Light Novel)', 'Future Diary: Mosaic', 'Future Diary: Paradox', 'Future Diary: Redial']"
66,Minato NAMIKAZE,Blonde Hair,Male,"['Adult', 'Beastmaster', 'Headband', 'Ninja', 'Teleportation Powers']","['Naruto: Hidden Leaf Village Grand Sports Festival!', 'Naruto Shippuden', 'Naruto Shippuden Movie 4: The Lost Tower', 'Naruto Shippuden Movie 6: Road to Ninja', 'The Last: Naruto the Movie']","['Boruto: Naruto the Movie Tokubetsu Bangai-hen - Naruto ga Hokage ni Natta Hi', 'Naruto', 'Road to Ninja: Naruto the Movie (Light Novel)', ""Rock Lee's Springtime of Youth""]"
67,Kyo SOHMA,Orange Hair,Male,"['Cursebearer', 'High School Student', 'Hot-Headed', 'Martial Artist', 'Teenager', 'Transfer Student', 'Tsundere']","['Fruits Basket', 'Fruits Basket 1st Season', 'Fruits Basket 2nd Season', 'Fruits Basket: Prelude', 'Fruits Basket the Final Season']","['Fruits Basket', 'Fruits Basket Another']"
68,Izaya ORIHARA,Black Hair,Male,"['Adult', 'Analytical', 'Information Broker', 'Knife Fighter', 'Manipulative', 'Mischievous', 'Sadistic']","['Durarara!!', 'Durarara!! Specials', 'Durarara!! X2', 'Durarara!! X2: My Heart Is in the Pattern of a Hot Pot', 'Durarara!! X2 The Second Arc', 'Durarara!! X2 The Second Arc: Onoroke Chakapoko', 'Durarara!! X2 The Third Arc']","['Durarara!!', 'Durarara!! 3 Way Standoff - Alley', 'Durarara!! Gaiden!? (Light Novel)', 'Durarara!! (Light Novel)', 'Durarara!! Minna wa Nakayoshi (Light Novel)', 'Durarara!! Re;Dollars Arc', 'Durarara!! Saika Arc', 'Durarara!! SH (Light Novel)', 'Durarara!! Yellow Scarves Arc', 'Minidura', 'Orihara Izaya to, Kassai wo (Light Novel)', 'Orihara Izaya to, Yuuyake wo (Light Novel)']"
69,Alex Louis ARMSTRONG,Blonde Hair,Male,"['Adult', 'Alchemist', 'Artist', 'Cleft Chin', 'Facial Hair', 'Hair Antenna', 'Magnificent Mustache', 'Military', 'Muscular', 'No Eyebrows']","['Fullmetal Alchemist', 'Fullmetal Alchemist: Brotherhood', 'Fullmetal Alchemist: Brotherhood: 4-Koma Theater', 'Fullmetal Alchemist: Premium Collection', 'Fullmetal Alchemist: Reflections', 'Fullmetal Alchemist The Movie: Conqueror of Shamballa', 'Fullmetal Alchemist: The Sacred Star of Milos']","['Fullmetal Alchemist', 'Fullmetal Alchemist: The Complete Four-Panel Comics']"
70,Toshiro HITSUGAYA,White Hair,Male,"['Agent of the Afterlife', 'Elemental Powers', 'Ice Powers', 'Shinigami', 'Sword Fighter']","['Bleach', 'Bleach: Jump Festa 2008 Special', 'Bleach Movie 1: Memories of Nobody', 'Bleach Movie 2: The DiamondDust Rebellion', 'Bleach Movie 3: Fade to Black', 'Bleach Movie 4: Hell Verse', 'Bleach: Sennen Kessen-hen', 'Bleach: The Sealed Sword Frenzy']","['Bleach', 'Bleach (2021)', 'Bleach 4-koma: Komaburi', 'Bleach: The Death Save the Strawberry (Light Novel)', 'Bleach: The Honey Dish Rhapsody (Light Novel)']"
71,Sanji,Blonde Hair,Male,"['Blinding Bangs', 'Cook', 'Epic Eyebrows', 'Facial Hair', 'Flirt', 'Pervert', 'Pirate', 'Sailor', 'Smoker']","['ARASHI: A-RA-SHI : Reborn', 'Fanta x One Piece', 'Hungry Days x Bump of Chicken: Kinen Satsuei', 'Hungry Days x One Piece', 'Look Plus x One Piece CM', 'Nissan Serena x One Piece 3D: Mugiwara Chase', 'One Piece', ""One Piece 3D2Y: Overcoming Ace's Death! Luffy's Pledge to His Friends!"", 'One Piece 3D: Mugiwara Chase', 'One Piece: Adventure of Nebulandia', 'One Piece: Annecy Festival 60th Anniversary', ""One Piece: Django's Dance Carnival"", 'One Piece: Dream Soccer King!', 'One Piece: Episode of East Blue', 'One Piece: Episode of Luffy - Hand Island no Bouken', 'One Piece: Episode of Merry - Mou Hitori no Nakama no Monogatari', 'One Piece: Episode of Nami - Koukaishi no Namida to Nakama no Kizuna', 'One Piece: Episode of Sabo', 'One Piece: Episode of Skypiea', 'One Piece Film: Gold', 'One Piece Film: Gold ~Episode 0~ 711 ver.', 'One Piece Film: Red', 'One Piece Film: Z', 'One Piece: Kinkyuu Kikaku One Piece Kanzen Kouryakuhou', 'One Piece Movie 10: Strong World', 'One Piece Movie 14: Stampede', 'One Piece Movie 2: Clockwork Island Adventure', 'One Piece Movie 3: Chopper Kingdom of Strange Animal Island', 'One Piece Movie 4: Dead End Adventure', 'One Piece Movie 5: The Curse of the Sacred Sword', 'One Piece Movie 6: Baron Omatsuri and the Secret Island', ""One Piece Movie 7: Karakuri Castle's Mecha Giant Soldier"", 'One Piece Movie 8: The Desert Princess and the Pirates - Adventures in Alabasta', 'One Piece Movie 9: Episode of Chopper - The Miracle Winter Cherry Blossom', 'One Piece Recap', 'One Piece: Romance Dawn Story', ""One Piece Special 1: Adventure in the Ocean's Navel"", ""One Piece Special 2: Open Upon the Great Sea! A Father's Huge, HUGE Dream!"", 'One Piece Special 3: Protect! The Last Great Stage', 'One Piece Special 4: The Detective Memoirs of Chief Straw Hat Luffy', 'One Piece Special: Glorious Island', 'One Piece Special: Heart of Gold', 'One Piece: Straw Hat Theater', 'One Piece: Strong World - Episode 0', 'One Piece: Take Aim! The Pirate Baseball King', 'One Piece: The Desert Princess and the Pirates - Adventures in Alabasta Prologue', 'Tokyo One Piece Tower: Tongari Shima no Dai Hihou', 'Toriko x One Piece Collabo Special', 'Toriko x One Piece Collabo Special 2']","['Cross Epoch', 'Food Wars! Shokugeki no Sanji', 'One Piece', 'One Piece Gakuen', 'One Piece Party', 'One Piece: Roronoa Zoro Falls Into the Sea', 'One Piece x Toriko: Jisshoku! Akuma no Mi!!']"
72,Gon FREECSS,Black Hair,Male,"['Anti-Gravity Hair', 'Charismatic', 'Child', 'Eternal Optimist', 'Unconventional Weapon']","['Hunter x Hunter', 'Hunter x Hunter (2011)', 'Hunter x Hunter: Jump Super Anime Tour 1998', 'Hunter x Hunter OVA', 'Hunter x Hunter OVA 2: Greed Island', 'Hunter x Hunter OVA 3: Greed Island Final', 'Hunter x Hunter: Phantom Rouge', 'Hunter x Hunter: The Last Mission']",['Hunter x Hunter']
73,Rukia KUCHIKI,Black Hair,Female,"['Agent of the Afterlife', 'Elemental Powers', 'Ice Powers', 'Nobility', 'Shinigami', 'Sword Fighter']","['Bleach', 'Bleach: Jump Festa 2008 Special', 'Bleach: Memories in the Rain', 'Bleach Movie 1: Memories of Nobody', 'Bleach Movie 2: The DiamondDust Rebellion', 'Bleach Movie 3: Fade to Black', 'Bleach Movie 4: Hell Verse', 'Bleach: Sennen Kessen-hen', 'Bleach: The Sealed Sword Frenzy']","['Bleach', 'Bleach (2021)', 'Bleach 4-koma: Komaburi', 'Bleach: Letters From the Other Side (Light Novel)', 'Bleach (Pilot)', 'Bleach: Spirits Are Forever with You (Light Novel)', 'Bleach: The Death Save the Strawberry (Light Novel)', 'Bleach: The Honey Dish Rhapsody (Light Novel)', 'Bleach Unmasked Short Stories']"
74,Franken STEIN,Grey Hair,Male,"['Adult', 'Doctor', 'Eye Bags', 'Glasses', 'Sadistic', 'Scar', 'Scientist', 'Smoker', 'Teacher']","['Soul Eater', 'Soul Eater Not!']","['Soul Eater', 'Soul Eater Not!']"
75,Yoruichi SHIHOUIN,Purple Hair,Female,"['Agent of the Afterlife', 'Dark-skinned', 'Martial Artist', 'Nobility', 'Ponytail', 'Shapeshifter', 'Shinigami']","['Bleach', 'Bleach Movie 2: The DiamondDust Rebellion', 'Bleach Movie 3: Fade to Black', 'Bleach: Sennen Kessen-hen', 'Bleach: The Sealed Sword Frenzy']","['Bleach', 'Bleach: The Honey Dish Rhapsody (Light Novel)']"
76,Neji HYUGA,Black Hair,Male,"['Exotic Eyes', 'Headband', 'Ninja', 'Teenager']","['Naruto', 'Naruto: Hidden Leaf Village Grand Sports Festival!', 'Naruto: Honoo no Chuunin Shiken! Naruto vs Konohamaru!!', 'Naruto: Narutimate Hero 3 OVA', 'Naruto: Naruto to Mashin to Mitsu no Onegai Dattebayo!!', 'Naruto Shippuden', 'Naruto Shippuden: Konoha Gakuen Picture Drama Special', 'Naruto Shippuden Movie 1', 'Naruto Shippuden Movie 2: Bonds', 'Naruto Shippuden Movie 3: The Will of Fire', 'Naruto Shippuden Movie 5: Blood Prison', 'Naruto Shippuden Movie 6: Road to Ninja', 'Naruto Shippuden OVA: Sage Naruto vs Sasuke', 'Naruto Spin-Off: Rock Lee & His Ninja Pals']","['Naruto', 'Naruto Shippuden Movie 5: Blood Prison (Light Novel)', 'Road to Naruto the Movie', 'Road to Ninja: Naruto the Movie (Light Novel)', ""Rock Lee's Springtime of Youth""]"
77,Hisoka MOROW,,Male,"['Big Ego', 'Bloodthirsty', 'Pervert', 'Ruthless', 'Sadistic']","['Hunter x Hunter', 'Hunter x Hunter (2011)', 'Hunter x Hunter OVA', 'Hunter x Hunter OVA 2: Greed Island', 'Hunter x Hunter OVA 3: Greed Island Final', 'Hunter x Hunter: Phantom Rouge', 'Hunter x Hunter: The Last Mission']","['Hunter x Hunter', 'Hunter x Hunter: Hisoka Origin Story']"
78,Misa AMANE,Blonde Hair,Female,"['Hyperactive', 'Idol', 'Pigtails']","['Death Note', 'Death Note Rewrite 1: Visions of a God', ""Death Note Rewrite 2: L's Successors""]",['Death Note']
79,Shoyo HINATA,Orange Hair,Male,"['Airhead', 'Athlete', 'High School Student', 'Hot-Headed', 'Teenager', 'Volleyball Player']","['Haikyuu!!', 'Haikyuu!! Karasuno High School vs Shiratorizawa Academy', 'Haikyuu!! Lev Kenzan!', 'Haikyuu!! Movie 1: Owari to Hajimari', 'Haikyuu!! Movie 2: Shousha to Haisha', 'Haikyuu!! Movie 3: Talent and Sense', 'Haikyuu!! Movie 4: Battle of Concepts', 'Haikyuu!! Quest Picture Drama', 'Haikyuu!! Riku vs Kuu', 'Haikyuu!! Second Season', 'Haikyuu!! Tokushuu! Harukou Volley ni Kaketa Seishun', 'Haikyuu!! To the Top', 'Haikyuu!! To the Top: Part II', 'Haikyuu!! vs. ""Akaten""']","['Haikyuu!!', 'Haikyuu!! A Party Reignited', 'Haikyuu!! (Pilot)', 'Haikyuu!! Shousetsuban!! Karasuno Koukou (Light Novel)', 'Haikyuu!! Shousetsu-ban!! (Light Novel)', ""Let's! Haikyuu!?"", 'Nisekyuu!!']"
80,Howl,Multicolored Hair,Male,"['Adult', 'Flamboyant', 'Magic User', 'Pacifist', 'Piercings', 'Secret Identity', 'Shapeshifter', 'Traveler']","[""Howl's Moving Castle""]","[""Howl's Moving Castle""]"
81,Spike SPIEGEL,Black Hair,Male,"['Adult', 'Bounty Hunter', 'Gunslinger', 'Heterochromia', 'Martial Artist', 'Pilot', 'Smoker']","['Cowboy Bebop', 'Cowboy Bebop Session XX: Mish-Mash Blues', 'Cowboy Bebop: The Movie']","['Cowboy Bebop', 'Cowboy Bebop: Shooting Star']"
82,Kyoya OOTORI,Black Hair,Male,"['Glasses', 'High School Student', 'Host', 'Teenager', 'Wealthy']",['Ouran High School Host Club'],"['Ouran High School Host Club', 'Ouran High School Host Club Short Special', 'Ouran High School Host Club University Special']"
83,Shiro,Multicolored Hair,Female,"['Analytical', 'Child', 'Child Prodigy', 'NEET', 'Person in a Strange World', 'Rapunzel Hair', 'Rosy Cheeks', 'Royalty', 'Video Gamer']","['No Game No Life', 'No Game No Life Specials', 'No Game No Life: Zero', 'No Game No Life: Zero - Manner Movie']","['No Game No Life', 'No Game No Life (Light Novel)']"
84,Haruhi SUZUMIYA,Brown Hair,Female,"['Bisexual', 'Bossy', 'Club President', 'Hair Ribbons', 'Headband', 'High School Student', 'Mischievous', 'Selfish', 'Teenager']","['Lucky Star', 'Melancholy of Haruhi-chan Suzumiya', 'Nyoron! Churuya-san', 'The Disappearance of Haruhi Suzumiya', 'The Disappearance of Nagato Yuki-chan', 'The Disappearance of Nagato Yuki-chan OVA', 'The Melancholy of Haruhi Suzumiya', 'The Melancholy of Haruhi Suzumiya (2009)']","['Haruhi Suzumiya Series (Light Novel)', 'Nyoron Churuya-san', 'The Disappearance of Nagato Yuki-chan', 'The Melancholy of Haruhi Suzumiya', 'The Melancholy of Haruhi Suzumiya (Makoto MIZUNO)', 'The Melancholy of Suzumiya Haruhi-chan: The Untold Adventures of the SOS Brigade', 'The Misfortune of Kyon and Koizumi']"
85,Celty STURLUSON,,Female,"['Amnesia', 'Biker', 'Darkness Powers', 'Elemental Powers', 'Helmet', 'Immortal', 'Mercenary', 'Mute', 'Scythe Wielder', 'Undead']","['Durarara!!', 'Durarara!! Specials', 'Durarara!! X2', 'Durarara!! X2: My Heart Is in the Pattern of a Hot Pot', 'Durarara!! X2 The Second Arc', 'Durarara!! X2 The Second Arc: Onoroke Chakapoko', 'Durarara!! X2 The Third Arc']","['Durarara!!', 'Durarara!! (Light Novel)', 'Durarara!! Re;Dollars Arc', 'Durarara!! Saika Arc', 'Durarara!! SH (Light Novel)', 'Durarara!! Yellow Scarves Arc']"
86,Maka ALBARN,Blonde Hair,Female,"['Bookworm', 'High School Student', 'Pigtails', 'Scythe Wielder', 'Teenager', 'Warrior']","['Soul Eater', 'Soul Eater Not!']","['Soul Eater', 'Soul Eater Not!']"
87,Undertaker,Grey Hair,Male,"['Agent of the Afterlife', 'Blinding Bangs', 'Hat', 'Information Broker', 'Mischievous', 'Scar', 'Shinigami']","['Black Butler', 'Black Butler 2', 'Black Butler 2 Specials', 'Black Butler: Book of Circus', 'Black Butler: Book of Murder', 'Black Butler: Book of the Atlantic', 'Black Butler: His Butler, Performer', 'Black Butler Picture Drama']","['Black Butler', 'Black Butler Anthology Comic']"
88,Hei,Black Hair,Male,"['Adult', 'Assassin', 'Big Eater', 'Knife Fighter', 'Martial Artist', 'Masks', 'Razor Floss', 'Secret Identity', 'Superpowers']","['Darker than Black', 'Darker than Black: Beneath Cherry Blossoms in Full Bloom...', 'Darker than Black: Gemini of the Meteor', 'Darker than Black: Kuro no Keiyakusha Gaiden']","['Darker Than Black', 'Darker than Black: Shikkoku no Hana']"
89,Ryuuji TAKASU,Blue Hair,Male,"['Cook', 'High School Student', 'Teenager']","['Toradora!', 'Toradora SOS! Hurray for Gourmands', 'Toradora! The True Meaning of Bento']","['Toradora!', 'Toradora! (Light Novel)', 'Toradora Spin-off! (Light Novel)']"
90,Touka KIRISHIMA,Blue Hair,Female,"['Blinding Bangs', 'Exotic Eyes', 'Monster', 'Part Time Employee', 'Waiter']","['Tokyo Ghoul', 'Tokyo Ghoul √A', 'Tokyo Ghoul:re', 'Tokyo Ghoul:re 2nd Season']","['Tokyo Ghoul', 'Tokyo Ghoul (Light Novel)', 'Tokyo Ghoul (Pilot)', 'Tokyo Ghoul:re']"
91,Saber,Blonde Hair,Female,"['Armor', 'Braids', 'Gloves', 'Hair Antenna', 'Hair Buns', 'Hair Ribbons', 'Honorable Fighter', 'Immortal', 'Knight', 'Magical Familiar', 'Royalty', 'Sword Fighter']","['Carnival Phantasm', 'Carnival Phantasm: EX Season', 'Carnival Phantasm: HibiChika Special', ""Carnival Phantasm: Illya's Castle"", 'Fate/Apocrypha', 'Fate/Extella OP', 'Fate/Grand Carnival', 'Fate/Grand Order: Cosmos in the Lostbelt OP 2', 'Fate/Grand Order OP', 'Fate/Grand Order: Third Singularity - Okeanos Event PV', 'Fate/Kaleid Liner Prisma Illya', 'Fate/stay night', ""Fate/stay night: Heaven's Feel I. presage flower"", 'Fate/stay night: TV reproduction', 'Fate/stay night: Unlimited Blade Works', 'Fate/stay night: Unlimited Blade Works 2', 'Fate/stay night: Unlimited Blade Works 2 - Sunny Day', 'Fate/stay night: Unlimited Blade Works Movie', 'Fate/stay night: Unlimited Blade Works Prologue', 'Fate/Zero', 'Fate/Zero 2', 'Fate/Zero Cafe', 'Fate/Zero Remix', ""Lord El-Melloi II's Case Files {Rail Zeppelin} Grace note"", 'Manga de Wakaru! Fate/Grand Order', ""Today's Menu for Emiya Family""]","['All Around Type-Moon: Ahnenerbe no Nichijou', 'Fate/Grand Order Comic Anthology STAR', 'Fate/Grand Order: Epic of Remnant - Ashu Tokuiten I - Akusei Kakusetsu Makyou Shinjuku - Shinjuku Genrei Jiken', 'Fate/Grand Order: Turas Réalta', 'Fate/Hollow Ataraxia', 'Fate/Kaleid Liner Prisma Illya', 'Fate/Labyrinth (Light Novel)', 'Fate/Stay Night', 'Fate/Stay Night: Comic Battle', ""Fate/Stay Night: Heaven's Feel"", 'Fate/stay Night x Magical Girl Lyrical Nanoha', 'Fate/Tiger Colosseum Upper', 'Fate/Zero', 'Fate/Zero (Light Novel)', 'Koha Ace GO: Teito Seihai Kitan', ""Lord El-Melloi II's Case Files"", 'Manga de Wakaru! Fate/Grand Order', 'Take Moon', 'Type-Moon Gakuen: Chibichuki!']"
92,Kurisu MAKISE,Red Hair,Female,"['Scientist', 'Teenager', 'Tsundere']","['Steins;Gate', 'Steins;Gate 0', ""Steins;Gate 0: Valentine's of Crystal Polymorphism -Bittersweet Intermedio-"", 'Steins;Gate: Egoistic Poriomania', 'Steins;Gate: Kyoukaimenjou no Missing Link - Divide By Zero', 'Steins;Gate Movie: Load Region of Deja Vu', 'Steins;Gate: Soumei Eichi no Cognitive Computing']","[""Chaos;Child: Children's Collapse"", 'Magi-Cu 4-koma: Steins;Gate - Sekaisen Hendouritsu x. 091015%', 'Steins;Gate', 'Steins;Gate!', 'Steins;Gate: Aishin Meizu no Babel', 'Steins;Gate: Boukan no Rebellion', 'Steins;Gate: Chouyoku no Divergence - Reverse (Light Novel)', 'Steins;Gate: Eigoukaiki no Pandora', 'Steins;Gate: Heiji Kyokusen no Epigraph', 'Steins;Gate: Heiji Kyokusen no Epigraph (Novel)', 'Steins;Gate: Heni Kuukan no Octet', 'Steins;Gate: Hiyoku Renri no Future Honey', 'Steins;Gate: Hiyoku Renri no Sweets Honey', 'Steins;Gate Movie: Load Region of Deja Vu', 'Steins;Gate: Shijou Saikyou no Slight Fever', 'Steins;Gate: Youen no Valhalla (Light Novel)']"
93,Konata IZUMI,Blue Hair,Female,"['Cosplayer', 'Hair Antenna', 'High School Student', 'Lazy', 'Mischievous', 'Mole', 'Otaku', 'Part Time Employee', 'Rapunzel Hair', 'Teenager', 'Video Gamer', 'Waiter']","['Kannagi', 'Lucky Star', 'Lucky Star OVA', 'Miyakawa-ke no Kuufuku']","['Lucky Star', 'Lucky Star: Comic a la Carte', 'Lucky Star: Pocket Travelers', 'Miyakawa-ke no Kuufuku', 'Miyakawa-ke no Kuufuku (Light Novel)']"
94,Satoru GOJO,White Hair,Male,"['Adult', 'Blindfold', 'Exorcist', 'Teacher']","['Eve: Kaikai Kitan', 'Juju Sanpo', 'Jujutsu Kaisen', 'Jujutsu Kaisen 0', 'Jujutsu Kaisen (2018)', 'Jujutsu Kaisen 2nd Season']","['Jujutsu Kaisen', 'Jujutsu Kaisen 0', 'Jujutsu Kaisen: Summer of Ashes, Autumn of Dust (Light Novel)', 'Jujutsu Kaisen: Yoake no Ibara Michi (Light Novel)']"
95,Mitsukuni HANINOZUKA,Blonde Hair,Male,"['Big Eater', 'Hair Antenna', 'High School Student', 'Host', 'Martial Artist', 'Sweet Tooth', 'Teenager', 'Wealthy']",['Ouran High School Host Club'],"['Ouran High School Host Club', 'Ouran High School Host Club Short Special', 'Ouran High School Host Club University Special']"
96,Byakuya KUCHIKI,Black Hair,Male,"['Agent of the Afterlife', 'Big Ego', 'Gloves', 'Nobility', 'Shinigami', 'Stoic', 'Sword Fighter']","['Bleach', 'Bleach: Jump Festa 2008 Special', 'Bleach Movie 1: Memories of Nobody', 'Bleach Movie 2: The DiamondDust Rebellion', 'Bleach Movie 3: Fade to Black', 'Bleach Movie 4: Hell Verse', 'Bleach: Sennen Kessen-hen', 'Bleach: The Sealed Sword Frenzy']","['Bleach', 'Bleach (2021)', 'Bleach 4-koma: Komaburi', 'Bleach: Spirits Are Forever with You (Light Novel)', 'Bleach: The Death Save the Strawberry (Light Novel)', 'Bleach: The Honey Dish Rhapsody (Light Novel)']"
